game_ID,team_ID,t1_ban1,t1_ban2,t1_ban3,t1_ban4,t1_ban5
3323959835,1,10,53,141,134,114
3313277570,1,157,89,18,61,23
3238320164,1,412,92,30,53,25
3329961731,1,134,516,40,18,117
3326343190,1,40,38,105,119,24
3308713607,1,412,57,75,157,141
3288402128,1,122,157,51,6,55
3315759621,1,238,33,55,201,53
3317001937,1,59,39,67,75,516
3314035078,1,29,40,17,31,157
3315934285,1,29,31,420,119,42
3327839556,1,141,-1,164,40,31
3301879852,1,119,117,31,57,38
3246799766,1,154,54,105,498,157
3233469276,1,35,2,119,245,89
3264123009,1,122,36,29,90,105
3221218999,1,53,63,154,3,122
3329172827,1,157,29,40,18,114
3331509281,1,141,238,8,53,114
3327364299,1,-1,64,38,29,51
3329302998,1,89,114,19,222,157
3308358422,1,245,157,154,59,67
3322734650,1,266,103,18,11,53
3321518451,1,238,114,40,121,157
3327218687,1,53,1,23,122,238
3327581606,1,51,1,420,-1,122
3331184032,1,154,61,40,516,122
3219978764,1,420,154,25,7,122
3267213499,1,54,23,141,61,24
3322707545,1,35,121,122,105,31
3302106475,1,154,105,157,238,119
3235294598,1,119,40,157,55,154
3329680020,1,69,63,51,86,134
3330475059,1,412,113,29,134,67
3323865742,1,64,266,61,67,119
3313178613,1,134,57,31,40,18
3321021689,1,154,141,117,157,238
3329116990,1,8,117,90,-1,40
3319301422,1,122,53,51,17,238
3273969038,1,122,31,141,19,157
3327930981,1,117,238,40,19,429
3320765224,1,238,31,114,122,157
3321085501,1,141,516,18,99,114
3284885837,1,31,412,6,150,131
3319410490,1,141,40,41,114,33
3222173823,1,157,17,105,498,154
3329059618,1,53,157,25,113,238
3322300709,1,103,114,67,154,31
3315005993,1,114,53,245,84,19
3328235024,1,238,122,18,67,141
3325899099,1,157,1,131,31,90
3322411139,1,16,91,58,38,119
3317568621,1,67,122,134,157,420
3278485058,1,114,61,154,31,38
3323450176,1,412,163,40,117,126
3329355820,1,18,40,99,31,16
3329523242,1,5,40,238,31,11
3300523019,1,18,119,238,141,11
3260960194,1,157,498,90,31,51
3330029652,1,157,106,25,24,122
3283544172,1,7,67,31,121,119
3313865303,1,6,11,136,57,157
3326688250,1,40,236,31,154,75
3228575167,1,157,114,102,154,143
3328059536,1,516,53,157,32,23
3320779522,1,29,154,16,103,114
3292256236,1,28,141,31,19,75
3285648979,1,122,238,92,117,31
3319744291,1,18,69,61,31,117
3233271653,1,420,51,23,498,157
3328257946,1,14,53,86,131,141
3318631365,1,18,11,31,516,75
3330134561,1,105,53,122,157,238
3329879618,1,38,117,18,10,79
3315337879,1,157,40,19,141,59
3324357625,1,238,25,498,23,67
3319890638,1,91,157,18,497,119
3319065982,1,157,92,238,29,40
3327210456,1,119,75,11,53,61
3220489176,1,498,11,238,119,154
3329988115,1,53,134,80,45,59
3218051336,1,7,122,11,238,105
3273955910,1,105,157,238,122,53
3306378109,1,117,119,7,238,75
3325854973,1,498,114,18,157,103
3321667006,1,141,105,67,64,119
3290591993,1,53,17,29,236,119
3317891706,1,119,29,238,157,141
3317698956,1,420,51,85,105,25
3306848074,1,41,29,420,64,18
