game_ID,team_ID,t2_champ1_sum1,t2_champ1_sum2,t2_champ2_sum1,t2_champ2_sum2,t2_champ3_sum1,t2_champ3_sum2,t2_champ4_sum1,t2_champ4_sum2,t2_champ5_sum1,t2_champ5_sum2
3324239752,2,4,3,7,4,12,4,4,11,4,12
3326047211,2,4,12,6,11,7,4,4,21,3,4
3322398507,2,12,6,11,4,4,12,3,4,4,7
3323959835,2,11,4,4,7,3,4,12,4,4,12
3313277570,2,4,11,4,14,12,3,4,14,3,4
3238320164,2,4,11,3,4,12,4,4,7,4,12
3329961731,2,7,4,14,4,4,11,4,21,4,3
3326343190,2,12,4,4,7,3,4,11,4,4,3
3308713607,2,14,4,4,11,4,7,4,12,12,4
3288402128,2,4,12,11,4,4,7,3,4,4,12
3315759621,2,4,11,3,4,4,7,4,21,4,12
3317001937,2,4,11,4,12,4,21,4,7,4,3
3314035078,2,1,4,4,11,12,4,7,4,4,3
3315934285,2,4,7,14,4,4,11,4,3,4,12
3327839556,2,11,4,4,6,4,7,4,3,12,4
3301879852,2,12,4,4,14,4,11,12,4,7,4
3246799766,2,4,14,4,12,4,7,3,4,4,11
3233469276,2,14,4,11,6,4,7,4,3,4,14
3264123009,2,4,12,21,4,4,11,4,7,4,3
3221218999,2,4,12,4,12,4,11,4,3,4,7
3329172827,2,4,7,3,4,11,4,12,4,4,21
3331509281,2,14,4,4,7,14,4,11,4,4,14
3327364299,2,12,4,4,11,7,4,4,6,4,3
3329302998,2,6,11,12,4,12,4,7,4,14,4
3308358422,2,4,11,4,3,4,12,3,4,7,4
3322734650,2,4,11,12,4,7,4,4,1,4,3
3321518451,2,4,3,4,7,4,12,11,4,14,4
3327218687,2,4,14,11,4,4,12,3,4,7,4
3327581606,2,3,4,4,7,4,14,4,11,12,4
3331184032,2,14,11,14,4,3,4,4,7,12,4
3219978764,2,4,14,4,3,4,21,4,7,11,4
3267213499,2,12,4,7,4,11,4,7,4,4,3
3322707545,2,12,4,21,4,7,4,11,4,3,4
3302106475,2,11,4,4,3,14,4,12,6,7,4
3235294598,2,4,12,14,4,7,4,4,11,4,12
3329680020,2,4,14,4,7,4,12,7,4,4,11
3330475059,2,4,7,11,4,4,21,12,4,4,14
3323865742,2,12,4,4,14,4,3,4,11,4,7
3313178613,2,4,1,4,11,4,12,4,7,3,4
3321021689,2,4,7,4,3,4,11,4,7,4,12
3329116990,2,4,14,4,11,4,12,3,4,4,7
3319301422,2,14,4,4,12,4,11,1,4,7,4
3273969038,2,4,3,7,4,4,12,14,4,4,11
3327930981,2,4,7,4,14,7,4,12,4,4,11
3320765224,2,4,7,4,12,3,4,4,1,11,4
3321085501,2,4,11,4,12,3,4,4,21,7,4
3284885837,2,4,14,4,7,4,11,3,4,14,4
3319410490,2,3,4,4,7,6,4,11,4,4,12
3222173823,2,4,7,3,4,4,11,4,14,12,4
3329059618,2,4,7,11,4,4,14,4,14,4,12
3322300709,2,14,4,4,11,4,14,4,7,4,12
3315005993,2,11,4,4,3,4,14,7,4,12,4
3328235024,2,4,11,12,4,21,4,3,4,4,14
3325899099,2,11,4,14,4,7,4,3,4,14,4
3322411139,2,14,4,4,12,4,3,4,11,7,4
3317568621,2,14,4,4,11,14,4,4,7,3,4
3278485058,2,4,12,14,4,21,4,4,11,4,7
3323450176,2,4,12,4,11,4,12,4,7,4,14
3329355820,2,4,7,4,14,4,11,4,14,12,4
3329523242,2,4,12,11,4,3,4,4,7,4,12
3300523019,2,4,7,11,4,4,3,12,4,4,21
3260960194,2,3,4,4,11,4,7,12,4,14,4
3330029652,2,4,11,4,7,12,4,12,4,14,4
3283544172,2,4,12,3,4,3,4,7,4,14,11
3313865303,2,4,12,4,7,12,4,3,4,11,4
3326688250,2,4,14,4,14,7,4,11,4,12,4
3228575167,2,7,4,14,4,12,6,4,3,14,4
3328059536,2,12,4,4,7,4,3,4,14,4,11
3320779522,2,21,4,4,12,3,4,4,11,4,7
3292256236,2,11,4,4,7,3,4,4,3,4,12
3285648979,2,7,4,11,4,14,4,4,12,4,3
3319744291,2,4,11,12,4,4,14,3,4,7,4
3233271653,2,12,4,11,6,4,7,4,3,6,4
3328257946,2,4,12,4,12,7,4,4,3,4,11
3318631365,2,4,11,7,4,4,12,4,3,4,14
3330134561,2,4,7,12,4,3,4,14,4,11,4
3329879618,2,7,4,12,4,11,4,7,4,4,3
