game_ID,team_ID,t2_towerKills,t2_inhibitorKills,t2_baronKills,t2_dragonKills,t2_riftHeraldKills
3219978764,2,1,0,0,0,0
3267213499,2,5,0,0,2,0
3322707545,2,7,0,0,2,0
3302106475,2,6,1,0,1,0
3235294598,2,1,0,0,0,0
3329680020,2,9,1,1,2,1
3330475059,2,0,0,0,0,0
3323865742,2,3,0,0,1,0
3313178613,2,8,1,1,3,0
3321021689,2,3,0,1,1,0
3329116990,2,11,4,2,5,0
3319301422,2,3,0,0,0,0
3273969038,2,10,2,2,2,0
3327930981,2,0,0,0,0,0
3320765224,2,7,1,0,2,0
3321085501,2,6,1,1,3,0
3284885837,2,0,0,0,0,0
3319410490,2,10,3,0,2,0
3222173823,2,10,3,0,2,0
3329059618,2,4,0,0,2,1
3322300709,2,9,1,1,3,1
3315005993,2,11,4,1,3,0
3328235024,2,1,0,0,0,0
3325899099,2,9,2,0,4,1
3322411139,2,4,0,0,2,0
3317568621,2,3,0,0,0,0
3278485058,2,1,0,0,0,0
3323450176,2,4,0,2,1,1
3329355820,2,11,3,1,2,0
3329523242,2,0,0,0,0,0
3300523019,2,2,0,0,0,0
3260960194,2,1,0,0,0,1
3330029652,2,8,1,2,3,0
3283544172,2,3,0,0,1,0
3313865303,2,4,0,0,4,1
3326688250,2,10,2,1,5,1
3228575167,2,0,0,0,0,0
3328059536,2,3,0,0,2,0
3320779522,2,9,2,0,1,1
3292256236,2,11,3,1,1,0
3285648979,2,8,1,0,2,0
3319744291,2,1,0,0,0,0
3233271653,2,10,2,1,2,0
3328257946,2,0,0,0,0,0
3318631365,2,8,1,0,2,1
3330134561,2,1,0,0,0,0
3329879618,2,9,2,1,2,1
3315337879,2,0,0,0,0,0
3324357625,2,11,4,0,1,0
3319890638,2,10,3,0,4,0
3319065982,2,10,2,0,4,0
3327210456,2,7,0,1,2,0
3220489176,2,2,0,0,0,0
3329988115,2,3,0,0,1,0
3218051336,2,2,0,0,0,0
3273955910,2,7,0,1,4,1
3306378109,2,10,3,2,3,0
3325854973,2,4,0,0,3,0
3321667006,2,9,3,0,1,0
3290591993,2,9,2,0,1,0
3317891706,2,3,0,0,3,0
3317698956,2,7,1,0,0,0
3306848074,2,7,2,2,4,0
3325741387,2,6,1,0,2,1
3325298155,2,9,1,0,3,0
3329216618,2,1,0,0,0,0
3325562798,2,5,0,1,2,0
3276082388,2,0,0,0,0,0
3283697742,2,0,0,0,0,1
3228196248,2,1,0,0,0,0
3328076986,2,8,1,0,1,0
3323442409,2,3,0,0,0,0
3319441119,2,10,3,0,2,0
3263331345,2,10,2,1,1,0
3326346692,2,0,0,0,0,0
3230623742,2,7,2,0,1,0
3324155100,2,4,0,0,1,1
3318820361,2,2,0,0,1,0
3275942117,2,3,0,1,1,0
3250588648,2,9,1,1,2,1
3319715822,2,10,2,1,3,1
3330134587,2,11,3,1,4,1
3243187691,2,10,3,1,4,1
3319504763,2,6,0,1,1,1
3313871700,2,4,0,0,2,0
3328007564,2,9,4,1,3,1
3288405925,2,0,0,0,0,0
3331121626,2,7,1,1,2,0
3264021701,2,8,2,1,4,0
3272272302,2,6,1,0,1,1
3300517697,2,9,2,0,1,0
3327231780,2,10,2,2,2,1
3262821388,2,1,0,0,0,0
3330161935,2,0,0,0,0,0
3255360670,2,11,3,1,3,0
3301391824,2,7,1,1,3,1
3326857244,2,0,0,0,0,0
3308173394,2,1,0,0,1,0
3324583766,2,7,1,0,4,0
3286830044,2,11,4,0,2,1
3321180520,2,0,0,0,0,0
3324574640,2,8,1,0,0,0
3331074547,2,3,0,0,2,1
3301419496,2,10,2,1,1,1
3251769268,2,0,0,0,1,0
3270340382,2,8,1,1,3,1
3327749176,2,8,3,1,2,0
3313524001,2,4,0,0,2,0
3224911519,2,9,2,1,4,0
3330156484,2,9,1,0,3,0
3328312961,2,9,2,1,3,1
3319265700,2,3,0,0,1,0
3269653607,2,5,0,0,2,0
3260906125,2,3,0,0,1,0
3328785302,2,10,5,1,5,1
3223703864,2,9,2,0,2,0
